2026-04-21 17:41:21 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=562688KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:41:27 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=562604KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:41:33 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=562732KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:41:39 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=562616KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:41:45 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=562728KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:41:51 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=562672KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:41:57 | PID=4672 | NAME=code | CPU=1.00% (limit 80.00) | MEM=562900KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:42:03 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=562772KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:42:09 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=562900KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:42:15 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=562852KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:42:21 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=562944KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:42:27 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=562860KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:42:34 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=562900KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:42:40 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=562884KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:42:46 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=562916KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:42:52 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=562912KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:42:58 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=562948KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:43:04 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=562956KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:43:10 | PID=4672 | NAME=code | CPU=1.01% (limit 80.00) | MEM=563400KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:43:16 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=563036KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:43:22 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=563244KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:43:28 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=563076KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:43:34 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=563272KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:43:40 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=563144KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:43:46 | PID=4672 | NAME=code | CPU=1.00% (limit 80.00) | MEM=563648KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:43:52 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=563272KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:43:58 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=563520KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:44:04 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=563300KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:44:10 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=563860KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:44:16 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=563928KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:44:22 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=564280KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:44:28 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=563516KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:44:34 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=563532KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:44:40 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=563668KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:44:46 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=563812KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:44:52 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=563556KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:44:58 | PID=4672 | NAME=code | CPU=1.50% (limit 80.00) | MEM=564088KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:45:04 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=563772KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:45:10 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=563932KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:45:16 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=563880KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:45:22 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=564660KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:45:28 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=564012KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:45:34 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=564140KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:45:40 | PID=4672 | NAME=code | CPU=1.50% (limit 80.00) | MEM=564532KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:45:46 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=564200KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:45:52 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=564236KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:45:58 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=564216KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:46:04 | PID=4672 | NAME=code | CPU=0.00% (limit 80.00) | MEM=564268KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:46:10 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=564260KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
2026-04-21 17:46:16 | PID=4672 | NAME=code | CPU=0.50% (limit 80.00) | MEM=564492KB (limit 512000KB) | ACTION=VIOLATION | threshold breached
